,items,support,ordered_statistics
0,"frozenset({'specialty chocolate', 'frozen fish'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'frozen fish'}), items_add=frozenset({'specialty chocolate'}), confidence=0.049019607843137254, lift=3.0689556157190907), OrderedStatistic(items_base=frozenset({'specialty chocolate'}), items_add=frozenset({'frozen fish'}), confidence=0.02092050209205021, lift=3.0689556157190907)]"
1,"frozenset({'fruit/vegetable juice', 'liver loaf'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'fruit/vegetable juice'}), items_add=frozenset({'liver loaf'}), confidence=0.011787819253438114, lift=3.52762278978389), OrderedStatistic(items_base=frozenset({'liver loaf'}), items_add=frozenset({'fruit/vegetable juice'}), confidence=0.12, lift=3.5276227897838903)]"
2,"frozenset({'pickled vegetables', 'ham'})",0.0005346521419501437,"[OrderedStatistic(items_base=frozenset({'ham'}), items_add=frozenset({'pickled vegetables'}), confidence=0.03125, lift=3.4895055970149254), OrderedStatistic(items_base=frozenset({'pickled vegetables'}), items_add=frozenset({'ham'}), confidence=0.05970149253731344, lift=3.4895055970149254)]"
3,"frozenset({'meat', 'roll products '})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'meat'}), items_add=frozenset({'roll products '}), confidence=0.019841269841269844, lift=3.620547812620984), OrderedStatistic(items_base=frozenset({'roll products '}), items_add=frozenset({'meat'}), confidence=0.06097560975609757, lift=3.620547812620984)]"
4,"frozenset({'salt', 'misc. beverages'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'misc. beverages'}), items_add=frozenset({'salt'}), confidence=0.0211864406779661, lift=3.5619405827461437), OrderedStatistic(items_base=frozenset({'salt'}), items_add=frozenset({'misc. beverages'}), confidence=0.05617977528089888, lift=3.5619405827461437)]"
5,"frozenset({'misc. beverages', 'spread cheese'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'misc. beverages'}), items_add=frozenset({'spread cheese'}), confidence=0.0211864406779661, lift=3.170127118644068), OrderedStatistic(items_base=frozenset({'spread cheese'}), items_add=frozenset({'misc. beverages'}), confidence=0.05, lift=3.170127118644068)]"
6,"frozenset({'soups', 'seasonal products'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'seasonal products'}), items_add=frozenset({'soups'}), confidence=0.04716981132075471, lift=14.704205974842766), OrderedStatistic(items_base=frozenset({'soups'}), items_add=frozenset({'seasonal products'}), confidence=0.10416666666666667, lift=14.704205974842768)]"
7,"frozenset({'sugar', 'spread cheese'})",0.00040098910646260775,"[OrderedStatistic(items_base=frozenset({'spread cheese'}), items_add=frozenset({'sugar'}), confidence=0.06, lift=3.3878490566037733), OrderedStatistic(items_base=frozenset({'sugar'}), items_add=frozenset({'spread cheese'}), confidence=0.022641509433962263, lift=3.3878490566037733)]"
8,"frozenset({'butter', 'bottled beer', 'sausage'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'bottled beer'}), items_add=frozenset({'butter', 'sausage'}), confidence=0.007374631268436578, lift=3.8050554368833285), OrderedStatistic(items_base=frozenset({'sausage'}), items_add=frozenset({'butter', 'bottled beer'}), confidence=0.005537098560354374, lift=3.3140642303432997), OrderedStatistic(items_base=frozenset({'butter', 'bottled beer'}), items_add=frozenset({'sausage'}), confidence=0.2, lift=3.3140642303433), OrderedStatistic(items_base=frozenset({'butter', 'sausage'}), items_add=frozenset({'bottled beer'}), confidence=0.1724137931034483, lift=3.8050554368833285)]"
9,"frozenset({'whole milk', 'hard cheese', 'bottled beer'})",0.0003341575887188398,"[OrderedStatistic(items_base=frozenset({'bottled beer'}), items_add=frozenset({'whole milk', 'hard cheese'}), confidence=0.007374631268436578, lift=3.9409502739148756), OrderedStatistic(items_base=frozenset({'hard cheese'}), items_add=frozenset({'whole milk', 'bottled beer'}), confidence=0.022727272727272728, lift=3.17820730671198), OrderedStatistic(items_base=frozenset({'whole milk', 'bottled beer'}), items_add=frozenset({'hard cheese'}), confidence=0.04672897196261682, lift=3.17820730671198), OrderedStatistic(items_base=frozenset({'whole milk', 'hard cheese'}), items_add=frozenset({'bottled beer'}), confidence=0.17857142857142858, lift=3.9409502739148756)]"
